open,high,low,close,volume
85.01,85.15,84.65,85.15,6636
85.11,85.11,85.11,85.11,494
85.19,85.27,85.16,85.27,4897
85.22,85.22,85.17,85.17,1864
85.33,85.34,85.28,85.33,2916
85.2,85.3,85.18,85.18,2831
85.27,85.27,85.2,85.23,3958
85.16,85.23,85.16,85.16,4436
85.16,85.16,85.16,85.16,1519
85.13,85.2,85.13,85.2,3709
85.2,85.2,85.2,85.2,172
85.21,85.27,85.21,85.27,1304
85.27,85.32,85.27,85.3,2518
85.29,85.29,85.29,85.29,677
85.29,85.3,85.23,85.23,1771
85.22,85.35,85.22,85.35,1816
85.4,85.4,85.3,85.3,619
85.31,85.34,85.3,85.34,2009
85.3,85.3,85.3,85.3,3084
85.27,85.3,85.27,85.27,1079
85.37,85.37,85.37,85.37,576
85.36,85.36,85.36,85.36,1038
85.37,85.4,85.37,85.4,4485
85.48,85.5,85.47,85.5,757
85.39,85.4,85.39,85.4,1488
85.37,85.37,85.37,85.37,519
85.42,85.42,85.42,85.42,535
85.43,85.45,85.43,85.45,1356
85.45,85.48,85.45,85.48,1270
85.48,85.49,85.48,85.49,834
85.46,85.5,85.45,85.5,4823
85.5,85.5,85.5,85.5,748
85.58,85.64,85.58,85.64,667
85.63,85.66,85.59,85.66,1545
85.62,85.62,85.62,85.62,204
85.58,85.58,85.58,85.58,344
85.6,85.62,85.55,85.55,2094
85.55,85.55,85.55,85.55,472
85.51,85.51,85.51,85.51,778
85.55,85.55,85.55,85.55,365
85.59,85.59,85.59,85.59,369
85.59,85.6,85.59,85.6,823
85.6,85.64,85.6,85.64,1010
85.6,85.61,85.6,85.61,241
85.61,85.61,85.6,85.6,211
85.6,85.6,85.6,85.6,206
85.51,85.51,85.51,85.51,403
85.51,85.51,85.5,85.5,1915
85.5,85.5,85.48,85.48,1810
85.42,85.42,85.4,85.4,2201
85.4,85.41,85.4,85.4,721
85.4,85.4,85.31,85.4,979
85.3,85.3,85.3,85.3,604
85.32,85.32,85.29,85.29,2605
85.25,85.25,85.25,85.25,1024
85.25,85.25,85.25,85.25,345
85.28,85.28,85.27,85.28,943
85.3,85.3,85.3,85.3,1004
85.3,85.3,85.3,85.3,473
85.34,85.34,85.34,85.34,455
85.34,85.35,85.34,85.35,804
85.32,85.32,85.32,85.32,273
85.28,85.3,85.28,85.3,338
85.3,85.35,85.3,85.35,1260
85.35,85.35,85.35,85.35,897
85.3,85.3,85.3,85.3,430
85.33,85.33,85.33,85.33,231
85.4,85.42,85.4,85.42,1437
85.4,85.4,85.4,85.4,527
85.4,85.4,85.4,85.4,769
85.45,85.46,85.42,85.42,670
85.48,85.48,85.48,85.48,1238
85.35,85.35,85.35,85.35,279
85.38,85.38,85.38,85.38,369
85.4,85.4,85.4,85.4,930
85.35,85.35,85.3,85.3,1730
85.3,85.3,85.25,85.25,602
85.25,85.25,85.19,85.19,1775
85.23,85.24,85.23,85.24,324
85.28,85.28,85.28,85.28,687
85.24,85.25,85.24,85.25,2275
85.22,85.22,85.22,85.22,534
85.23,85.23,85.23,85.23,100
85.23,85.28,85.23,85.28,300
85.29,85.29,85.29,85.29,630
85.3,85.3,85.3,85.3,919
85.31,85.32,85.31,85.32,2204
85.3,85.3,85.3,85.3,269
85.22,85.31,85.22,85.31,2218
85.31,85.31,85.13,85.13,9675
85.12,85.12,84.79,84.8,15321
84.71,84.97,84.7,84.97,3576
84.74,84.74,84.74,84.74,374
84.75,84.75,84.75,84.75,873
84.76,84.76,84.76,84.76,1581
84.72,84.72,84.63,84.64,1609
84.74,84.75,84.74,84.75,623
84.89,84.89,84.69,84.7,2227
84.88,84.88,84.88,84.88,515
84.89,84.96,84.89,84.96,5467
84.78,84.95,84.71,84.8,10520
84.83,84.84,84.11,84.11,42833
84.46,84.47,84.46,84.47,3484
84.41,84.55,84.34,84.44,13772
84.55,84.56,84.55,84.56,1430
84.56,84.73,84.56,84.73,7773
84.72,84.77,84.7,84.77,3475
84.83,84.83,84.75,84.75,1536
84.75,84.8,84.7,84.8,4809
84.75,84.8,84.75,84.76,12447
84.66,84.66,84.66,84.66,1239
84.6,84.6,84.6,84.6,728
84.59,84.7,84.55,84.7,4335
84.62,84.7,84.62,84.7,2112
84.7,84.7,84.7,84.7,627
84.75,84.75,84.75,84.75,602
84.79,84.8,84.79,84.8,1732
84.85,84.85,84.85,84.85,774
84.83,84.83,84.83,84.83,787
84.8,84.86,84.8,84.8,7121
84.84,84.88,84.84,84.88,6374
84.9,84.92,84.9,84.92,2130
84.94,84.94,84.9,84.9,1490
84.89,84.9,84.85,84.85,2258
84.8,84.8,84.8,84.8,751
84.8,84.8,84.76,84.76,627
84.75,84.88,84.7,84.88,4875
84.82,84.9,84.82,84.9,3275
84.95,84.95,84.95,84.95,1014
84.92,84.92,84.88,84.88,1789
84.89,84.95,84.88,84.95,1401
84.93,84.95,84.93,84.95,857
84.94,84.94,84.9,84.9,1112
84.91,84.91,84.91,84.91,398
84.91,84.92,84.89,84.92,1202
84.95,84.95,84.95,84.95,725
84.97,85.13,84.97,85.13,23897
85.13,85.16,85.09,85.09,11657
85.13,85.13,85.08,85.08,582
85.08,85.08,85.03,85.03,1708
85.05,85.05,85.05,85.05,2005
85.08,85.08,85.08,85.08,662
85.05,85.05,85.02,85.02,868
85,85,84.83,84.83,6102
84.85,84.87,84.83,84.87,622
84.91,84.92,84.91,84.92,1587
84.9,84.91,84.89,84.89,1914
84.92,84.92,84.92,84.92,317
84.87,84.87,84.82,84.85,1251
84.82,84.82,84.75,84.75,2192
84.76,84.79,84.76,84.79,1720
84.79,84.79,84.79,84.79,2406
84.82,84.82,84.82,84.82,333
84.87,84.96,84.87,84.96,3505
84.8,85.16,84.25,84.89,94476
84.4,85.04,84.32,85.02,11229
85.01,85.14,85.01,85.14,6182
85.12,85.13,84.94,84.94,3656
85.06,85.0995,84.99,85.0995,6703
85.05,85.05,85.03,85.04,1897
85.01,85.01,84.98,84.98,2687
85.0001,85.0001,85,85,1467
84.94,84.94,84.77,84.8,11560
84.77,84.77,84.5,84.56,9531
84.69,84.75,84.63,84.75,5377
84.62,84.75,84.61,84.75,3812
84.67,84.67,84.56,84.63,8840
84.63,84.75,84.63,84.75,11502
84.75,84.75,84.75,84.75,299
84.8,84.8,84.6601,84.7899,3740
84.72,84.78,84.72,84.78,932
84.7,84.78,84.7,84.78,3920
84.72,84.75,84.72,84.75,1751
84.75,84.75,84.7102,84.75,3729
84.78,84.97,84.7402,84.97,7614
84.8889,84.95,84.8889,84.94,1598
84.9325,85,84.92,84.9899,10298
84.9899,84.9899,84.9,84.9,1603
84.99,84.99,84.88,84.88,1500
84.89,84.9,84.86,84.86,7669
84.87,84.87,84.85,84.85,706
84.8,84.8,84.75,84.76,3136
84.83,84.83,84.77,84.8,1448
84.7701,84.7701,84.7,84.7102,12979
84.71,84.76,84.71,84.74,1349
84.75,84.75,84.72,84.75,478
84.75,84.81,84.72,84.81,4417
84.8,84.8,84.77,84.77,1505
84.798,84.798,84.78,84.78,1563
84.78,84.8,84.77,84.8,3145
84.79,84.83,84.79,84.83,3010
84.8,84.84,84.79,84.84,8346
84.88,84.88,84.85,84.88,1662
84.86,84.88,84.84,84.88,6661
84.88,84.95,84.88,84.95,11406
84.9,84.92,84.85,84.85,5985
84.8504,84.8504,84.8504,84.8504,442
84.9,84.92,84.87,84.87,4079
84.87,84.93,84.87,84.91,2379
84.8903,84.92,84.8903,84.9101,2543
84.93,84.93,84.89,84.89,2617
84.89,84.89,84.89,84.89,424
84.92,84.97,84.92,84.97,2680
84.95,84.99,84.95,84.98,2471
84.98,85.09,84.98,85.07,15524
85.09,85.32,85.09,85.32,48501
85.32,85.3501,85.24,85.3,6744
85.27,85.29,85.1182,85.16,13132
85.1899,85.2,85.17,85.18,4547
85.19,85.2,85.11,85.11,8955
85.15,85.15,85.11,85.12,6970
85.14,85.15,85.11,85.11,3418
85.11,85.15,85.11,85.15,2353
85.15,85.19,85.14,85.14,12668
85.15,85.19,85.14,85.19,3088
85.16,85.2,85.16,85.2,2357
85.13,85.13,85.05,85.05,6641
85.06,85.06,85.05,85.05,1179
85.05,85.05,85.02,85.02,2490
85.01,85.05,85,85.05,2498
85.08,85.14,85.07,85.07,2719
85.0701,85.08,85.0701,85.08,1858
85.07,85.1,85.06,85.06,1864
85.1,85.11,85.07,85.07,3686
85.09,85.15,85.09,85.1,4060
85.13,85.15,85.1,85.13,6090
85.14,85.14,85.1,85.12,5035
85.1,85.12,85.1,85.1,3713
85.12,85.28,85.12,85.2454,9749
85.24,85.25,85.21,85.22,7296
85.2,85.2,85.16,85.18,3742
85.16,85.2,85.15,85.2,5843
85.2,85.25,85.16,85.25,22005
85.249,85.249,85.19,85.24,5780
85.25,85.27,85.23,85.24,4791
85.24,85.26,85.16,85.21,8181
85.2102,85.25,85.17,85.25,10701
85.2301,85.25,85.2301,85.25,3926
85.25,85.29,85.25,85.29,4552
85.28,85.5,85.28,85.4,32054
85.4,85.48,85.33,85.42,10033
85.45,85.65,85.3779,85.59,27528
85.54,85.54,85.25,85.4,8495
85.48,85.49,85.33,85.4,7969
85.46,85.84,85.36,85.47,1629604.0
85.47,85.64,85.2,85.486,374927
85.45,85.715,85.39,85.5,335987
85.4982,85.74,85.46,85.74,264506
